Class,Topic - Glittr,Category - Glittr,Ontology,ID/link,Defintion
,Containerization,Computational methods and pipelines,,https://en.wikipedia.org/wiki/Containerization_(computing),
CWL,CWL,Computational methods and pipelines,EDAM - Bioscientific data analysis ontology,http://edamontology.org/format_3857,Common Workflow Language (CWL) format for description of command-line tools and workflows.
Docker Container,Docker,Computational methods and pipelines,FAIR Data Train Ontology,https://w3id.org/fdt/fdt-o#Docker,
Galaxy,Galaxy,Computational methods and pipelines,Data Science Education Ontology,http://bigdatau.org/dseo#Galaxy,Web application that allows processing of large datasets for analysis in bioinformatics
High Performance Computing,High performance computing,Computational methods and pipelines,Data Science Education Ontology,http://bigdatau.org/dseo#high_performance_computing,"Computing processes that involve parallelism to improve computation times; examples: parallel computing, grid computing, supercomputers"
,Nextflow,Computational methods and pipelines,,,Nextflow enables scalable and reproducible scientific workflows using software containers. It allows the adaptation of pipelines written in the most common scripting languages. Its fluent DSL simplifies the implementation and the deployment of complex parallel and reactive workflows on clouds and clusters.
Singularity Container,Singularity,Computational methods and pipelines,FAIR Data Train Ontology,https://w3id.org/fdt/fdt-o#Singularity,
,Snakemake,Computational methods and pipelines,,,"The Snakemake workflow management system is a tool to create reproducible and scalable data analyses. Workflows are described via a human readable, Python based language. They can be seamlessly scaled to server, cluster, grid and cloud environments, without the need to modify the workflow definition. Finally, Snakemake workflows can entail a description of required software, which will be automatically deployed to any execution environment."
Workflows,Workflows,Computational methods and pipelines,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_0769,Biological or biomedical analytical workflows or pipelines.
Image analysis,Image analysis,Computational methods and pipelines,EDAM - Bioscientific data analysis ontology,http://edamontology.org/operation_3443,The analysis of a image (typically a digital image) of some type in order to extract information from it.
,General,Others,,,
Data management,Data management,Reproducibility and data management,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_3071,"Data management comprises the practices and principles of taking care of data, other than analysing them. This includes for example taking care of the associated metadata, formatting, storage, archiving, or access."
FAIR data,FAIR data,Reproducibility and data management,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_4012,"A substantially overlapping term is 'open data', i.e. publicly available data that is free to use, distribute, and create derivative work from, without restrictions. Open data does not automatically have to be FAIR (e.g. findable or interoperable), while FAIR data does in some cases not have to be publicly available without restrictions (especially sensitive personal data). FAIR data is data that meets the principles of being findable, accessible, interoperable, and reusable."
Reproducibility,Reproducibility,Reproducibility and data management,Data Science Education Ontology,http://bigdatau.org/dseo#reproducibility,"Presenting data and/or analysis in format that can be comprehended by and reproduced for stakeholders; can include anything related to reporting, building dashboards, creating data products, or repository sharing for analysis code"
Data Visualization,Data visualization,Scripting and languages,Data Science Education Ontology,http://bigdatau.org/dseo#data_visualization,Presenting data in a graphical representation in order to explore existing dataset and/or present conclusions about a dataset
,Git,Scripting and languages,,https://en.wikipedia.org/wiki/Git,
Python,Python,Scripting and languages,Data Science Education Ontology,http://bigdatau.org/dseo#Python,General purpose programming language often used in data science and scientific computing
,Quarto,Scripting and languages,,,
R,R,Scripting and languages,Data Science Education Ontology,http://bigdatau.org/dseo#R,Programming language for statistical computing and data visualization
,Rmarkdown,Scripting and languages,,,
,Shiny,Scripting and languages,,,
Unix/Linux,Unix/Linux,Scripting and languages,Data Science Education Ontology,http://bigdatau.org/dseo#Unix_Linux,"Families of multitasking, multiuser computer operating systems that either derive from the original AT&T Unix or are designed to operate in a way similar to that of Unix"
Version source control system,Version control,Scripting and languages,Neuroscience Information Framework (NIF) Standard Ontology,http://uri.neuinfo.org/nif/nifstd/birnlex_2246,"A resource that provides a system for the management of multiple revisions of the same unit of information. It is most commonly used in engineering and software development to manage ongoing development of digital documents like application source code, art resources such as blueprints or electronic models, and other projects that may be worked on by a team of people."
Public health and epidemiology,Epidemiology,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_3305,"Topic concerning the the patterns, cause, and effect of disease within populations."
ATAC-seq,ATAC-seq,Omics analysis,Experimental Factor Ontology,http://www.ebi.ac.uk/efo/EFO_0007045,"Assay for transposase-accessible chromatin using sequencing (ATAC-seq), is a method based on direct in vitro transposition of sequencing adaptors into native chromatin, and is a rapid and sensitive method for integrative epigenomic analysis. ATAC-seq captures open chromatin sites using a simple two-step protocol."
ChIP-seq,ChIP-seq,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_3169,The analysis of protein-DNA interactions where chromatin immunoprecipitation (ChIP) is used in combination with massively parallel DNA sequencing to identify the binding sites of DNA-associated proteins
Comparative genomics,Comparative genomics,Omics analysis,EDAM - Bioscientific data analysis ontology,http://edamontology.org/topic_0797,"The study (typically comparison) of the sequence, structure or function of multiple genomes."
